"Show API debug code on single item update request (Channable Item update grid), only enable this when errors occur in request.","Toon de API debug code voor product update verzoek (Channable Product Updates), alleen activeren wanneer er zich een fout voordoet."
"Debug item call","Debug item call"
"Log item updates","Log item updates"
"Logfile","Logbestand"
"Write all mutations to var/log/channable.log","Schrijf alle mutaties naar var/log/channable.log"
"Action","Actie"
"Are you sure?","Actie Bevestigen?"
"Call Result","Resultaat"
"Channable API","Channable API"
"Channable Item Updates","Channable Item Updates"
"Channable Items","Channable Items"
"Connect Token","Connect Sleutel"
"Could not update item","Kan item niet updaten"
"Cron Settings","Cron Instellingen"
"Customers","Klanten"
"Default Shipping Method","Standaard verzendmethode"
"Delivery BE","Leveren BE"
"Delivery NL","Leveren NL"
"Discount Price","Kortingsprijs"
"Debug Item Call","Debug product updates"
"Enabled","Enabled"
"Extension Version","Extension Version"
"Fallback for Shipping Method","Fallback for Shipping Method"
"General - Settings","General - Settings"
"Group","Group"
"Yes (force)","Ja (Geforceerd)"
"Id","Id"
"No","Nee"
"Yes","Ja"
"Import Customers","Klanten importeren"
"Item API Settings","Item API Instellingen"
"Item Cron Frequency","Item Cronjob frequentie"
"Item updated","Item geüpdatet"
"Last Call","Laatste call"
"Log All Updates","Log alle updates"
"Magmodules","Magmodules"
"Needs Update","Behoeft update"
"No","Nee"
"Order API Settings","Order API instellingen"
"Please enable the extension first","U dient de extensie eerst te activeren"
"Price","Prijs"
"Store","Winkel"
"Product","Product"
"In order to use the Channable API, you have to set the API settings on the store level where you want to import the orders from Channable. The settings are only visible when you have the right store-view selected through the store switcher on the top left.","Om de Channable API gebruiken moet u de API instellen in het winkel zicht waar u de orders van Channable wenst te importeren. Deze API instellingen zijn daarom alleen toegankelijk wanneer de juiste store-view is geselecteerd middels de winkel switcher linksboven."
"Product ""%s"" not found in catalog (ID: %s)","Product ""%s"" niet gevonden in de catalogus (ID: %s)"
"Product ""%s"" not available in requested quantity","Product ""%s"" niet beschikbaar in het opgevraagde aantal."
"Set a limit on the number of products for each update.","Stel een limiet op het aantal producten in voor elke update."
"Product Limit","Product limiet"
"Que for update","In de wacht voor update"
"Shipping BE","Verzendkosten BE"
"Shipping Method","Verzendmethode"
"Shipping NL","Verzendkosten NL"
"Store","Winkel"
"Update now","Update nu"
"Updated At","Geüpdatet op"
"Webhook","Webhook"
"Write all mutations to the Channable debug table.","Schrijf alle mutaties naar de Channable debug tabel."
"Yes","Ja"
"This extension does not work without the <a href=""%s"">Channable Feed extension</a>, please install the Channable Feed extension before enabling the Channable API extension.","Deze extensie werkt niet zonder de <a href=""%s"">Channable Feed extension</a>, de Channable Feed extensie dient eerst geïnstalleerd te worden alvorens dat de Channable API extensie kan worden ingeschakeld."